meta,Genus,Species,Isolate N,Taxon,PC1,PC2,PC3,PC4,PC5
Artspp29BHI18AC11,Art,spp,29,Art spp,1.677721903381608,-0.44403490710768645,-0.8047695617815094,1.0027300478424352,-2.1334956609301554
Artspp29BHI18AC12,Art,spp,29,Art spp,1.8337970381316542,-0.38870454405630134,-0.8164195328037923,1.0910039356871002,-1.967577772672112
Artspp29BHI18AC13,Art,spp,29,Art spp,1.6937285055435156,-0.5282475898964426,-0.7735652341056495,0.9894716716231624,-2.1546990974765734
Artspp29BHI18AC21,Art,spp,29,Art spp,1.810956732480984,-0.5482855872855984,-0.8225725441065947,1.0852924360495995,-2.129327939039003
Artspp29BHI18AC22,Art,spp,29,Art spp,1.5169824009987958,-0.5313405749999804,-1.0486332949451074,1.010947440975618,-2.3745158569573612
Artspp29BHI18AC23,Art,spp,29,Art spp,1.5528687688794496,-0.5596770714198569,-1.0281222968613708,0.9959923686725719,-2.4396453320528786
Artspp29BHI18AC31,Art,spp,29,Art spp,1.915467840558608,-0.3526759948081987,-0.9806944746927847,1.0611825675095152,-1.905704650825207
Artspp29BHI18AC32,Art,spp,29,Art spp,1.7845763021604315,-0.37405155215008506,-0.9645336290737765,0.9792738998743133,-1.9781851566965862
Artspp29BHI18AC33,Art,spp,29,Art spp,1.7969129105634283,-0.4206558233727073,-0.9972658316543751,0.9954592838943673,-2.066313193371271
Artant38BHI18AC11,Pae,ant,38,Pae ant,2.3798256087240617,0.9562310962009994,2.428590496998842,-0.5793702302083817,2.245621822786972
Artant38BHI18AC12,Pae,ant,38,Pae ant,2.194208213389537,0.7524554460023696,2.677951434476717,-0.7127035347895961,2.586832352626523
Artant38BHI18AC13,Pae,ant,38,Pae ant,2.3654902806880127,0.8901286603158635,2.531310508672352,-0.5585587379324649,2.408186636761188
Artant38BHI18AC21,Pae,ant,38,Pae ant,0.7551353044497523,-0.4033779238327264,2.2925946926807548,-1.0463481706328661,1.8469477226987154
Artant38BHI18AC22,Pae,ant,38,Pae ant,0.5723073322351563,-0.6385860776873559,2.3296751588264595,-1.2174780416037068,1.7737729070037398
Artant38BHI18AC23,Pae,ant,38,Pae ant,0.7264950162683131,0.15326123257986576,1.7436613803636678,-0.82845648193248,1.7808924301249232
Artant38BHI18AC31,Pae,ant,38,Pae ant,-0.1753595574307862,0.08090052111824048,1.8211292671967634,-0.622159112868915,1.880236594611365
Artant38BHI18AC32,Pae,ant,38,Pae ant,0.9617957672715114,0.5994136921503443,1.0801561445253292,-0.2686145268884179,1.692140618141174
Artant38BHI18AC33,Pae,ant,38,Pae ant,-0.49060535824113777,-0.6318658448474013,2.0472163899372333,-1.2219336834926506,1.8265283963388523
Artcry09BHI18AC11,Art,cry,9,Art cry,-11.89475165706639,-5.720017747979019,4.094610817774078,-3.7179842300432284,-1.2169863345926368
Artcry09BHI18AC11,Art,cry,9,Art cry,0.9887352505873899,-4.1373261194670565,4.388195155467572,-1.8727045014396957,-0.13769593614811565
Artcry09BHI18AC12,Art,cry,9,Art cry,0.07113946532976846,-6.250607724156237,5.79835387026956,-2.9128747372549713,-0.1958646576662953
Artcry09BHI18AC13,Art,cry,9,Art cry,0.9187107115012507,-5.2997692623404244,4.973075040077538,-2.324287201824893,-0.2812401268925328
Artcry09BHI18AC21,Art,cry,9,Art cry,-9.210596301354098,-9.11666689854897,4.199942197282281,-4.542035684605736,-1.1205491499982945
Artcry09BHI18AC22,Art,cry,9,Art cry,-2.287070343010054,-6.237626950616773,1.60022533482486,-1.5017982387109956,-2.967479466567558
Artcry09BHI18AC23,Art,cry,9,Art cry,-14.651972575120174,-4.833904133277582,1.6042941967805686,-2.414868274251565,-2.162352652331104
Artcry09BHI18AC31,Art,cry,9,Art cry,1.6096452245106365,2.8230822700401195,1.0638165546336082,3.6370656510966617,-4.153667054257191
Artcry09BHI18AC32,Art,cry,9,Art cry,-1.1693913758145387,-4.357136825597156,1.3227358380327858,-1.0564289279501073,-3.128927190781848
Artcry09BHI18AC33,Art,cry,9,Art cry,-3.1210169146041515,-6.159715009576589,3.8844410744841564,-1.7716795973694452,-1.9804460395967634
Artory26BHI18AC11,Art,ory,26,Art ory,1.103269811207358,-1.217156564866639,-0.15926057460003087,0.8222522430809307,-2.6646629830827244
Artory26BHI18AC12,Art,ory,26,Art ory,0.7781658622171369,-2.0745552250120634,0.7052468032649956,0.6508803836531772,-2.995019700853407
Artory26BHI18AC13,Art,ory,26,Art ory,0.9097514017797668,-1.4121322414340944,-0.06199540014701913,0.8505616980395511,-2.908006464238085
Artory26BHI18AC21,Art,ory,26,Art ory,0.8059099039796468,-3.0563464818108335,1.576616771898087,0.58225802709777,-3.199926791873462
Artory26BHI18AC22,Art,ory,26,Art ory,-0.21686683873384352,-4.57523042656589,2.9119987592985566,-0.08969444549335248,-3.318806835234954
Artory26BHI18AC23,Art,ory,26,Art ory,-0.6777951102640507,-4.619133531851674,3.095947616889721,-0.18712735294074237,-3.155632841383264
Artory26BHI18AC31,Art,ory,26,Art ory,0.7681607542066066,-1.247139243350846,-0.08851093336213747,0.8671923145932746,-2.8900556024510102
Artory26BHI18AC32,Art,ory,26,Art ory,0.9289448372046041,-1.2196868741016682,-0.13761469675145094,0.8113979554109523,-2.7625848710720433
Artory26BHI18AC33,Art,ory,26,Art ory,0.6782519056241858,-1.2930002244381118,-0.15782923148749864,0.7612695020615521,-2.9361671520260484
Artspp06BHI18AC11,Art,spp,6,Art spp,0.3214776670253757,1.543733016502954,1.5929536089868017,1.6112889924922165,2.226626292194014
Artspp06BHI18AC12,Art,spp,6,Art spp,1.4264053994516268,1.611491888501346,-1.3021452956869006,1.271610650866239,0.2657877111178185
Artspp06BHI18AC13,Art,spp,6,Art spp,-0.38574104938111287,0.7802090618959203,0.2834297917553945,0.8842643152076266,-0.33809806819501215
Artspp06BHI18AC23,Art,spp,6,Art spp,-4.9930808329219,-3.6174808336072872,3.182521814599098,-1.4001614709038837,-0.02043854421653375
Artspp07BHI18AC11,Art,spp,7,Art spp,2.5899979544200393,-1.0220499293253302,-0.2333257116173692,0.7170117472395814,-1.8527685391896103
Artspp07BHI18AC12,Art,spp,7,Art spp,2.5877422867756152,-0.8268205510582595,-0.3950936217797825,0.7503249830393139,-1.693329866046103
Artspp07BHI18AC13,Art,spp,7,Art spp,2.521805114068721,-0.647435685962823,-0.5205922778195602,0.765241458174176,-1.5668176162652696
Artspp07BHI18AC21,Art,spp,7,Art spp,1.3342952246161952,-0.45371105370422987,-0.7347153348680823,0.946113277768968,-1.7814108481425956
Artspp07BHI18AC22,Art,spp,7,Art spp,1.2214379733741731,-0.27824861642337645,-1.0651280801217946,0.9250544622981525,-1.9876098005208063
Artspp07BHI18AC23,Art,spp,7,Art spp,1.3459866359503145,-0.26914030464656363,-0.898105609831707,0.9517192615373553,-1.892916675226163
Artspp07BHI18AC31,Art,spp,7,Art spp,1.973416982286822,-0.20938987394828443,-0.7998475626379967,1.0472832339196418,-1.5475972475576922
Artspp07BHI18AC32,Art,spp,7,Art spp,2.263654110861664,-0.3560583153827369,-0.841640350194394,1.0328764226795764,-1.7386817479005805
Artspp07BHI18AC33,Art,spp,7,Art spp,1.999564161215184,-0.12575912870611827,-0.8139414671965681,1.0628022111582458,-1.456714501176142
Artspp08BHI18AC11,Art,spp,8,Art spp,2.1978231619445845,-0.2920307288695073,1.4991099198516544,-0.43767203545697164,0.8765826222134886
Artspp08BHI18AC12,Art,spp,8,Art spp,0.9935226447033364,-3.518242857201709,4.062811241683244,-1.8805007434926835,0.23293587623121154
